state,zipcode,total_pop,total_income,country,avg_income
NY,10535,370,26068,USA,70454.05405405405
NY,10536,5130,1582461,USA,308471.9298245614
NY,10537,1260,87175,USA,69186.50793650794
NY,10538,8120,3738612,USA,460420.19704433496
NY,10541,12910,1274374,USA,98712.1611154144
NY,10543,9860,1964432,USA,199232.45436105476
NY,10546,690,153328,USA,222214.4927536232
NY,10547,3640,328020,USA,90115.38461538461
NY,10548,1660,146648,USA,88342.1686746988
NY,10549,8330,1797542,USA,215791.35654261705
NY,10550,19710,829407,USA,42080.517503805175
NY,10552,11190,909028,USA,81235.74620196605
NY,10553,5970,316952,USA,53090.78726968174
NY,10560,2200,465545,USA,211611.36363636365
NY,10562,16100,1494035,USA,92797.2049689441
NY,10566,12500,748125,USA,59850
NY,10567,9880,1155513,USA,116954.75708502025
NY,10570,6100,1319349,USA,216286.7213114754
NY,10573,18960,2009731,USA,105998.47046413503
NY,10576,2470,766892,USA,310482.59109311743
NY,10577,1550,1373893,USA,886382.5806451613
NY,10578,430,43916,USA,102130.23255813954
NY,10579,4400,474998,USA,107954.09090909091
NY,10580,8240,5376117,USA,652441.3834951456
NY,10583,18920,10335498,USA,546273.6786469345
NY,10588,1360,128381,USA,94397.79411764706
NY,10589,4630,615300,USA,132894.16846652268
NY,10590,3200,582347,USA,181983.4375
NY,10591,12080,1715248,USA,141990.72847682118
NY,10594,2570,339968,USA,132283.26848249027
NY,10595,3330,501425,USA,150578.07807807808
NY,10597,480,178155,USA,371156.25
NY,10598,14660,1788057,USA,121968.41746248295
NY,10601,6160,1064627,USA,172829.05844155845
NY,10603,10040,877388,USA,87389.24302788844
NY,10604,5750,842515,USA,146524.34782608695
NY,10605,10210,1661610,USA,162743.388834476
NY,10606,8490,787811,USA,92792.81507656066
NY,10607,4060,431010,USA,106160.0985221675
NY,10701,29840,1567373,USA,52525.90482573726
NY,10703,10930,631071,USA,57737.511436413544
NY,10704,17300,1182860,USA,68373.41040462427
NY,10705,18880,1009714,USA,53480.61440677966
NY,10706,4520,884771,USA,195745.796460177
NY,10707,5240,664463,USA,126805.91603053435
NY,10708,11510,3453247,USA,300021.4596003475
NY,10709,4920,746874,USA,151803.65853658537
NY,10710,14110,1191654,USA,84454.57122608079
NY,10801,18810,1412306,USA,75082.72195640617
NY,10803,6170,1583488,USA,256643.11183144245
NY,10804,7170,1772308,USA,247183.82147838216
NY,10805,9250,700622,USA,75742.91891891892
NY,10901,11290,1388656,USA,122998.75996457042
NY,10913,2630,406463,USA,154548.6692015209
NY,10916,2230,231611,USA,103861.43497757848
NY,10917,1060,95714,USA,90296.22641509434
NY,10918,5820,511727,USA,87925.60137457044
